Temporada,Fecha_Update,Fruta,Centro_acopio,Estado,PR_Productor,Nombre_Productor,Codigo_Huerto,Nombre_Huerto,Liberacion,Hectareas,Mes,Semana,Cajas_proyectadas,Ha en produccion,Variedad,% avance,% restante,Semanas restantes,Cajas totales,Filial,Kg,Columna1
2022-2023,01/07/2022,Avocado,Netherlands,Netherlands,,,,,,,ago-22,,3000,"0,00",,,,,,Euromeridian,"6,12",
2022-2023,01/07/2022,Avocado,Netherlands,Netherlands,,,,,,,sep-22,,3000,"0,00",,,,,,Euromeridian,"6,12",
2022-2023,01/07/2022,Avocado,Netherlands,Netherlands,,,,,,,oct-22,,3000,"0,00",,,,,,Euromeridian,"6,12",
2022-2023,01/07/2022,Avocado,Netherlands,Netherlands,,,,,,,nov-22,,3000,"0,00",,,,,,Euromeridian,"6,12",
2022-2023,01/07/2022,Avocado,Netherlands,Netherlands,,,,,,,dic-22,,3000,"0,00",,,,,,Euromeridian,"6,12",
2022-2023,01/07/2022,Avocado,Netherlands,Netherlands,,,,,,,ene-23,,3000,"0,00",,,,,,Euromeridian,"6,12",
2022-2023,01/07/2022,Avocado,Netherlands,Netherlands,,,,,,,feb-23,,3000,"0,00",,,,,,Euromeridian,"6,12",
2022-2023,01/07/2022,Avocado,Netherlands,Netherlands,,,,,,,mar-23,,3000,"0,00",,,,,,Euromeridian,"6,12",
2022-2023,01/07/2022,Avocado,Netherlands,Netherlands,,,,,,,abr-23,,3000,"0,00",,,,,,Euromeridian,"6,12",
2022-2023,01/07/2022,Avocado,Netherlands,Netherlands,,,,,,,may-23,,3000,"0,00",,,,,,Euromeridian,"6,12",
2022-2023,01/07/2022,Avocado,Netherlands,Netherlands,,,,,,,jun-23,,3000,"0,00",,,,,,Euromeridian,"6,12",
2022-2023,01/07/2022,Avocado,Netherlands,Netherlands,,,,,,,jul-23,,3000,"0,00",,,,,,Euromeridian,"6,12",
2022-2023,01/07/2022,Arandano,Netherlands,Netherlands,,,,,,,ago-22,,37333,"0,00",,,,,,Euromeridian,"76,16",
2022-2023,01/07/2022,Arandano,Netherlands,Netherlands,,,,,,,sep-22,,73858,"0,00",,,,,,Euromeridian,"150,67",
2022-2023,01/07/2022,Arandano,Netherlands,Netherlands,,,,,,,oct-22,,65647,"0,00",,,,,,Euromeridian,"133,92",
2022-2023,01/07/2022,Arandano,Netherlands,Netherlands,,,,,,,nov-22,,65647,"0,00",,,,,,Euromeridian,"133,92",
2022-2023,01/07/2022,Arandano,Netherlands,Netherlands,,,,,,,dic-22,,65647,"0,00",,,,,,Euromeridian,"133,92",
2022-2023,01/07/2022,Arandano,Netherlands,Netherlands,,,,,,,ene-23,,85176,"0,00",,,,,,Euromeridian,"173,76",
2022-2023,01/07/2022,Arandano,Netherlands,Netherlands,,,,,,,feb-23,,47059,"0,00",,,,,,Euromeridian,96,
2022-2023,01/07/2022,Arandano,Netherlands,Netherlands,,,,,,,mar-23,,38235,"0,00",,,,,,Euromeridian,78,
2022-2023,01/07/2022,Arandano,Netherlands,Netherlands,,,,,,,abr-23,,28431,"0,00",,,,,,Euromeridian,58,
2022-2023,01/07/2022,Arandano,Netherlands,Netherlands,,,,,,,may-23,,18873,"0,00",,,,,,Euromeridian,"38,5",
2022-2023,01/07/2022,Arandano,Netherlands,Netherlands,,,,,,,jun-23,,49020,"0,00",,,,,,Euromeridian,100,
2022-2023,01/07/2022,Arandano,Netherlands,Netherlands,,,,,,,jul-23,,35294,"0,00",,,,,,Euromeridian,72,
2022-2023,01/07/2022,Zarzamora,Netherlands,Netherlands,,,,,,,ago-22,,0,"0,00",,,,,,Euromeridian,0,
2022-2023,01/07/2022,Zarzamora,Netherlands,Netherlands,,,,,,,sep-22,,0,"0,00",,,,,,Euromeridian,0,
2022-2023,01/07/2022,Zarzamora,Netherlands,Netherlands,,,,,,,oct-22,,1147,"0,00",,,,,,Euromeridian,"2,34",
2022-2023,01/07/2022,Zarzamora,Netherlands,Netherlands,,,,,,,nov-22,,1147,"0,00",,,,,,Euromeridian,"2,34",
2022-2023,01/07/2022,Zarzamora,Netherlands,Netherlands,,,,,,,dic-22,,2294,"0,00",,,,,,Euromeridian,"4,68",
2022-2023,01/07/2022,Zarzamora,Netherlands,Netherlands,,,,,,,ene-23,,3124,"0,00",,,,,,Euromeridian,"6,37",
2022-2023,01/07/2022,Zarzamora,Netherlands,Netherlands,,,,,,,feb-23,,3124,"0,00",,,,,,Euromeridian,"6,37",
2022-2023,01/07/2022,Zarzamora,Netherlands,Netherlands,,,,,,,mar-23,,3124,"0,00",,,,,,Euromeridian,"6,37",
2022-2023,01/07/2022,Zarzamora,Netherlands,Netherlands,,,,,,,abr-23,,3124,"0,00",,,,,,Euromeridian,"6,37",
2022-2023,01/07/2022,Zarzamora,Netherlands,Netherlands,,,,,,,may-23,,1147,"0,00",,,,,,Euromeridian,"2,34",
2022-2023,01/07/2022,Zarzamora,Netherlands,Netherlands,,,,,,,jun-23,,0,"0,00",,,,,,Euromeridian,0,
2022-2023,01/07/2022,Zarzamora,Netherlands,Netherlands,,,,,,,jul-23,,0,"0,00",,,,,,Euromeridian,0,
2022-2023,01/07/2022,Frambuesa,Netherlands,Netherlands,,,,,,,ago-22,,0,"0,00",,,,,,Euromeridian,0,
2022-2023,01/07/2022,Frambuesa,Netherlands,Netherlands,,,,,,,sep-22,,0,"0,00",,,,,,Euromeridian,0,
2022-2023,01/07/2022,Frambuesa,Netherlands,Netherlands,,,,,,,oct-22,,39216,"0,00",,,,,,Euromeridian,80,
2022-2023,01/07/2022,Frambuesa,Netherlands,Netherlands,,,,,,,nov-22,,53162,"0,00",,,,,,Euromeridian,"108,45",
2022-2023,01/07/2022,Frambuesa,Netherlands,Netherlands,,,,,,,dic-22,,77672,"0,00",,,,,,Euromeridian,"158,45",
2022-2023,01/07/2022,Frambuesa,Netherlands,Netherlands,,,,,,,ene-23,,82083,"0,00",,,,,,Euromeridian,"167,45",
2022-2023,01/07/2022,Frambuesa,Netherlands,Netherlands,,,,,,,feb-23,,61985,"0,00",,,,,,Euromeridian,"126,45",
2022-2023,01/07/2022,Frambuesa,Netherlands,Netherlands,,,,,,,mar-23,,48480,"0,00",,,,,,Euromeridian,"98,9",
2022-2023,01/07/2022,Frambuesa,Netherlands,Netherlands,,,,,,,abr-23,,45319,"0,00",,,,,,Euromeridian,"92,45",
2022-2023,01/07/2022,Frambuesa,Netherlands,Netherlands,,,,,,,may-23,,37966,"0,00",,,,,,Euromeridian,"77,45",
2022-2023,01/07/2022,Frambuesa,Netherlands,Netherlands,,,,,,,jun-23,,17647,"0,00",,,,,,Euromeridian,36,
2022-2023,01/07/2022,Frambuesa,Netherlands,Netherlands,,,,,,,jul-23,,0,"0,00",,,,,,Euromeridian,0,
2022-2023,01/07/2022,Fresa,Netherlands,Netherlands,,,,,,,ago-22,,0,"0,00",,,,,,Euromeridian,0,
2022-2023,01/07/2022,Fresa,Netherlands,Netherlands,,,,,,,sep-22,,0,"0,00",,,,,,Euromeridian,0,
2022-2023,01/07/2022,Fresa,Netherlands,Netherlands,,,,,,,oct-22,,1716,"0,00",,,,,,Euromeridian,"3,5",
2022-2023,01/07/2022,Fresa,Netherlands,Netherlands,,,,,,,nov-22,,2402,"0,00",,,,,,Euromeridian,"4,9",
2022-2023,01/07/2022,Fresa,Netherlands,Netherlands,,,,,,,dic-22,,52206,"0,00",,,,,,Euromeridian,"106,5",
2022-2023,01/07/2022,Fresa,Netherlands,Netherlands,,,,,,,ene-23,,59968,"0,00",,,,,,Euromeridian,"122,33",
2022-2023,01/07/2022,Fresa,Netherlands,Netherlands,,,,,,,feb-23,,48087,"0,00",,,,,,Euromeridian,"98,1",
2022-2023,01/07/2022,Fresa,Netherlands,Netherlands,,,,,,,mar-23,,33625,"0,00",,,,,,Euromeridian,"68,6",
2022-2023,01/07/2022,Fresa,Netherlands,Netherlands,,,,,,,abr-23,,1716,"0,00",,,,,,Euromeridian,"3,5",
2022-2023,01/07/2022,Fresa,Netherlands,Netherlands,,,,,,,may-23,,3431,"0,00",,,,,,Euromeridian,7,
2022-2023,01/07/2022,Fresa,Netherlands,Netherlands,,,,,,,jun-23,,0,"0,00",,,,,,Euromeridian,0,
2022-2023,01/07/2022,Fresa,Netherlands,Netherlands,,,,,,,jul-23,,0,"0,00",,,,,,Euromeridian,0,
2022-2023,01/07/2022,Pomegrantes,Turkey,Turkey,,,,,,,ago-22,31,0,"0,00",,,,,,MiddleEast,0,Rodrigo
2022-2023,01/07/2022,Pomegrantes,Turkey,Turkey,,,,,,,ago-22,32,0,"0,00",,,,,,MiddleEast,0,Rodrigo
2022-2023,01/07/2022,Pomegrantes,Turkey,Turkey,,,,,,,ago-22,33,0,"0,00",,,,,,MiddleEast,0,Rodrigo
2022-2023,01/07/2022,Pomegrantes,Turkey,Turkey,,,,,,,ago-22,34,0,"0,00",,,,,,MiddleEast,0,Rodrigo
2022-2023,01/07/2022,Pomegrantes,Turkey,Turkey,,,,,,,sep-22,35,0,"0,00",,,,,,MiddleEast,0,Rodrigo
2022-2023,01/07/2022,Pomegrantes,Turkey,Turkey,,,,,,,sep-22,36,0,"0,00",,,,,,MiddleEast,0,Rodrigo
2022-2023,01/07/2022,Pomegrantes,Turkey,Turkey,,,,,,,sep-22,37,0,"0,00",,,,,,MiddleEast,0,Rodrigo
2022-2023,01/07/2022,Pomegrantes,Turkey,Turkey,,,,,,,sep-22,38,0,"0,00",,,,,,MiddleEast,0,Rodrigo
2022-2023,01/07/2022,Pomegrantes,Turkey,Turkey,,,,,,,sep-22,39,0,"0,00",,,,,,MiddleEast,0,Rodrigo
2022-2023,01/07/2022,Pomegrantes,Turkey,Turkey,,,,,,,oct-22,40,0,"0,00",,,,,,MiddleEast,0,Rodrigo
2022-2023,01/07/2022,Pomegrantes,Turkey,Turkey,,,,,,,oct-22,41,0,"0,00",,,,,,MiddleEast,0,Rodrigo
2022-2023,01/07/2022,Pomegrantes,Turkey,Turkey,,,,,,,oct-22,42,4000,"0,00",,,,,,MiddleEast,"8,16",Rodrigo
2022-2023,01/07/2022,Pomegrantes,Turkey,Turkey,,,,,,,oct-22,43,4000,"0,00",,,,,,MiddleEast,"8,16",Rodrigo
2022-2023,01/07/2022,Pomegrantes,Turkey,Turkey,,,,,,,nov-22,44,4000,"0,00",,,,,,MiddleEast,"8,16",Rodrigo
2022-2023,01/07/2022,Pomegrantes,Turkey,Turkey,,,,,,,nov-22,45,4000,"0,00",,,,,,MiddleEast,"8,16",Rodrigo
2022-2023,01/07/2022,Pomegrantes,Turkey,Turkey,,,,,,,nov-22,46,4000,"0,00",,,,,,MiddleEast,"8,16",Rodrigo
2022-2023,01/07/2022,Pomegrantes,Turkey,Turkey,,,,,,,nov-22,47,4000,"0,00",,,,,,MiddleEast,"8,16",Rodrigo
2022-2023,01/07/2022,Pomegrantes,Turkey,Turkey,,,,,,,dic-22,48,4000,"0,00",,,,,,MiddleEast,"8,16",Rodrigo
2022-2023,01/07/2022,Pomegrantes,Turkey,Turkey,,,,,,,dic-22,49,4000,"0,00",,,,,,MiddleEast,"8,16",Rodrigo
2022-2023,01/07/2022,Pomegrantes,Turkey,Turkey,,,,,,,dic-22,50,4000,"0,00",,,,,,MiddleEast,"8,16",Rodrigo
2022-2023,01/07/2022,Pomegrantes,Turkey,Turkey,,,,,,,dic-22,51,0,"0,00",,,,,,MiddleEast,0,Rodrigo
2022-2023,01/07/2022,Pomegrantes,Turkey,Turkey,,,,,,,dic-22,52,0,"0,00",,,,,,MiddleEast,0,Rodrigo
2022-2023,01/07/2022,Pomegrantes,Turkey,Turkey,,,,,,,ene-23,1,0,"0,00",,,,,,MiddleEast,0,Rodrigo
2022-2023,01/07/2022,Pomegrantes,Turkey,Turkey,,,,,,,ene-23,2,0,"0,00",,,,,,MiddleEast,0,Rodrigo
2022-2023,01/07/2022,Pomegrantes,Turkey,Turkey,,,,,,,ene-23,3,0,"0,00",,,,,,MiddleEast,0,Rodrigo
2022-2023,01/07/2022,Pomegrantes,Turkey,Turkey,,,,,,,ene-23,4,0,"0,00",,,,,,MiddleEast,0,Rodrigo
2022-2023,01/07/2022,Pomegrantes,Turkey,Turkey,,,,,,,feb-23,5,0,"0,00",,,,,,MiddleEast,0,Rodrigo
2022-2023,01/07/2022,Pomegrantes,Turkey,Turkey,,,,,,,feb-23,6,0,"0,00",,,,,,MiddleEast,0,Rodrigo
2022-2023,01/07/2022,Pomegrantes,Turkey,Turkey,,,,,,,feb-23,7,0,"0,00",,,,,,MiddleEast,0,Rodrigo
2022-2023,01/07/2022,Pomegrantes,Turkey,Turkey,,,,,,,feb-23,8,0,"0,00",,,,,,MiddleEast,0,Rodrigo
2022-2023,01/07/2022,Pomegrantes,Turkey,Turkey,,,,,,,mar-23,9,0,"0,00",,,,,,MiddleEast,0,Rodrigo
2022-2023,01/07/2022,Pomegrantes,Turkey,Turkey,,,,,,,mar-23,10,0,"0,00",,,,,,MiddleEast,0,Rodrigo
2022-2023,01/07/2022,Pomegrantes,Turkey,Turkey,,,,,,,mar-23,11,0,"0,00",,,,,,MiddleEast,0,Rodrigo
2022-2023,01/07/2022,Pomegrantes,Turkey,Turkey,,,,,,,mar-23,12,0,"0,00",,,,,,MiddleEast,0,Rodrigo
2022-2023,01/07/2022,Pomegrantes,Turkey,Turkey,,,,,,,mar-23,13,0,"0,00",,,,,,MiddleEast,0,Rodrigo
2022-2023,01/07/2022,Pomegrantes,Turkey,Turkey,,,,,,,abr-23,14,0,"0,00",,,,,,MiddleEast,0,Rodrigo
2022-2023,01/07/2022,Pomegrantes,Turkey,Turkey,,,,,,,abr-23,15,0,"0,00",,,,,,MiddleEast,0,Rodrigo
2022-2023,01/07/2022,Pomegrantes,Turkey,Turkey,,,,,,,abr-23,16,0,"0,00",,,,,,MiddleEast,0,Rodrigo
2022-2023,01/07/2022,Pomegrantes,Turkey,Turkey,,,,,,,abr-23,17,0,"0,00",,,,,,MiddleEast,0,Rodrigo
2022-2023,01/07/2022,Pomegrantes,Turkey,Turkey,,,,,,,may-23,18,0,"0,00",,,,,,MiddleEast,0,Rodrigo
2022-2023,01/07/2022,Pomegrantes,Turkey,Turkey,,,,,,,may-23,19,0,"0,00",,,,,,MiddleEast,0,Rodrigo
2022-2023,01/07/2022,Pomegrantes,Turkey,Turkey,,,,,,,may-23,20,0,"0,00",,,,,,MiddleEast,0,Rodrigo
2022-2023,01/07/2022,Pomegrantes,Turkey,Turkey,,,,,,,may-23,21,0,"0,00",,,,,,MiddleEast,0,Rodrigo
2022-2023,01/07/2022,Pomegrantes,Turkey,Turkey,,,,,,,may-23,22,0,"0,00",,,,,,MiddleEast,0,Rodrigo
2022-2023,01/07/2022,Pomegrantes,Turkey,Turkey,,,,,,,jun-23,23,0,"0,00",,,,,,MiddleEast,0,Rodrigo
2022-2023,01/07/2022,Pomegrantes,Turkey,Turkey,,,,,,,jun-23,24,0,"0,00",,,,,,MiddleEast,0,Rodrigo
2022-2023,01/07/2022,Pomegrantes,Turkey,Turkey,,,,,,,jun-23,25,0,"0,00",,,,,,MiddleEast,0,Rodrigo
2022-2023,01/07/2022,Pomegrantes,Turkey,Turkey,,,,,,,jun-23,26,0,"0,00",,,,,,MiddleEast,0,Rodrigo
2022-2023,01/07/2022,Pomegrantes,Turkey,Turkey,,,,,,,jul-23,27,0,"0,00",,,,,,MiddleEast,0,Rodrigo
2022-2023,01/07/2022,Pomegrantes,Turkey,Turkey,,,,,,,jul-23,28,0,"0,00",,,,,,MiddleEast,0,Rodrigo
2022-2023,01/07/2022,Pomegrantes,Turkey,Turkey,,,,,,,jul-23,29,0,"0,00",,,,,,MiddleEast,0,Rodrigo
2022-2023,01/07/2022,Pomegrantes,Turkey,Turkey,,,,,,,jul-23,30,0,"0,00",,,,,,MiddleEast,0,Rodrigo
2022-2023,01/07/2022,Lemon,Turkey,Turkey,,,,,,,ago-22,31,0,"0,00",,,,,,MiddleEast,0,Rodrigo
2022-2023,01/07/2022,Lemon,Turkey,Turkey,,,,,,,ago-22,32,0,"0,00",,,,,,MiddleEast,0,Rodrigo
2022-2023,01/07/2022,Lemon,Turkey,Turkey,,,,,,,ago-22,33,0,"0,00",,,,,,MiddleEast,0,Rodrigo
2022-2023,01/07/2022,Lemon,Turkey,Turkey,,,,,,,ago-22,34,0,"0,00",,,,,,MiddleEast,0,Rodrigo
2022-2023,01/07/2022,Lemon,Turkey,Turkey,,,,,,,sep-22,35,0,"0,00",,,,,,MiddleEast,0,Rodrigo
2022-2023,01/07/2022,Lemon,Turkey,Turkey,,,,,,,sep-22,36,0,"0,00",,,,,,MiddleEast,0,Rodrigo
2022-2023,01/07/2022,Lemon,Turkey,Turkey,,,,,,,sep-22,37,0,"0,00",,,,,,MiddleEast,0,Rodrigo
2022-2023,01/07/2022,Lemon,Turkey,Turkey,,,,,,,sep-22,38,0,"0,00",,,,,,MiddleEast,0,Rodrigo
2022-2023,01/07/2022,Lemon,Turkey,Turkey,,,,,,,sep-22,39,0,"0,00",,,,,,MiddleEast,0,Rodrigo
2022-2023,01/07/2022,Lemon,Turkey,Turkey,,,,,,,oct-22,40,0,"0,00",,,,,,MiddleEast,0,Rodrigo
2022-2023,01/07/2022,Lemon,Turkey,Turkey,,,,,,,oct-22,41,0,"0,00",,,,,,MiddleEast,0,Rodrigo
2022-2023,01/07/2022,Lemon,Turkey,Turkey,,,,,,,oct-22,42,4000,"0,00",,,,,,MiddleEast,"8,16",Rodrigo
2022-2023,01/07/2022,Lemon,Turkey,Turkey,,,,,,,oct-22,43,4000,"0,00",,,,,,MiddleEast,"8,16",Rodrigo
2022-2023,01/07/2022,Lemon,Turkey,Turkey,,,,,,,nov-22,44,4000,"0,00",,,,,,MiddleEast,"8,16",Rodrigo
2022-2023,01/07/2022,Lemon,Turkey,Turkey,,,,,,,nov-22,45,4000,"0,00",,,,,,MiddleEast,"8,16",Rodrigo
2022-2023,01/07/2022,Lemon,Turkey,Turkey,,,,,,,nov-22,46,4000,"0,00",,,,,,MiddleEast,"8,16",Rodrigo
2022-2023,01/07/2022,Lemon,Turkey,Turkey,,,,,,,nov-22,47,4000,"0,00",,,,,,MiddleEast,"8,16",Rodrigo
2022-2023,01/07/2022,Lemon,Turkey,Turkey,,,,,,,dic-22,48,4000,"0,00",,,,,,MiddleEast,"8,16",Rodrigo
2022-2023,01/07/2022,Lemon,Turkey,Turkey,,,,,,,dic-22,49,4000,"0,00",,,,,,MiddleEast,"8,16",Rodrigo
2022-2023,01/07/2022,Lemon,Turkey,Turkey,,,,,,,dic-22,50,4000,"0,00",,,,,,MiddleEast,"8,16",Rodrigo
2022-2023,01/07/2022,Lemon,Turkey,Turkey,,,,,,,dic-22,51,0,"0,00",,,,,,MiddleEast,0,Rodrigo
2022-2023,01/07/2022,Lemon,Turkey,Turkey,,,,,,,dic-22,52,0,"0,00",,,,,,MiddleEast,0,Rodrigo
2022-2023,01/07/2022,Lemon,Turkey,Turkey,,,,,,,ene-23,1,0,"0,00",,,,,,MiddleEast,0,Rodrigo
2022-2023,01/07/2022,Lemon,Turkey,Turkey,,,,,,,ene-23,2,0,"0,00",,,,,,MiddleEast,0,Rodrigo
2022-2023,01/07/2022,Lemon,Turkey,Turkey,,,,,,,ene-23,3,0,"0,00",,,,,,MiddleEast,0,Rodrigo
2022-2023,01/07/2022,Lemon,Turkey,Turkey,,,,,,,ene-23,4,0,"0,00",,,,,,MiddleEast,0,Rodrigo
2022-2023,01/07/2022,Lemon,Turkey,Turkey,,,,,,,feb-23,5,0,"0,00",,,,,,MiddleEast,0,Rodrigo
2022-2023,01/07/2022,Lemon,Turkey,Turkey,,,,,,,feb-23,6,0,"0,00",,,,,,MiddleEast,0,Rodrigo
2022-2023,01/07/2022,Lemon,Turkey,Turkey,,,,,,,feb-23,7,0,"0,00",,,,,,MiddleEast,0,Rodrigo
2022-2023,01/07/2022,Lemon,Turkey,Turkey,,,,,,,feb-23,8,0,"0,00",,,,,,MiddleEast,0,Rodrigo
2022-2023,01/07/2022,Lemon,Turkey,Turkey,,,,,,,mar-23,9,0,"0,00",,,,,,MiddleEast,0,Rodrigo
2022-2023,01/07/2022,Lemon,Turkey,Turkey,,,,,,,mar-23,10,0,"0,00",,,,,,MiddleEast,0,Rodrigo
2022-2023,01/07/2022,Lemon,Turkey,Turkey,,,,,,,mar-23,11,0,"0,00",,,,,,MiddleEast,0,Rodrigo
2022-2023,01/07/2022,Lemon,Turkey,Turkey,,,,,,,mar-23,12,0,"0,00",,,,,,MiddleEast,0,Rodrigo
2022-2023,01/07/2022,Lemon,Turkey,Turkey,,,,,,,mar-23,13,0,"0,00",,,,,,MiddleEast,0,Rodrigo
2022-2023,01/07/2022,Lemon,Turkey,Turkey,,,,,,,abr-23,14,0,"0,00",,,,,,MiddleEast,0,Rodrigo
2022-2023,01/07/2022,Lemon,Turkey,Turkey,,,,,,,abr-23,15,0,"0,00",,,,,,MiddleEast,0,Rodrigo
2022-2023,01/07/2022,Lemon,Turkey,Turkey,,,,,,,abr-23,16,0,"0,00",,,,,,MiddleEast,0,Rodrigo
2022-2023,01/07/2022,Lemon,Turkey,Turkey,,,,,,,abr-23,17,0,"0,00",,,,,,MiddleEast,0,Rodrigo
2022-2023,01/07/2022,Lemon,Turkey,Turkey,,,,,,,may-23,18,0,"0,00",,,,,,MiddleEast,0,Rodrigo
2022-2023,01/07/2022,Lemon,Turkey,Turkey,,,,,,,may-23,19,0,"0,00",,,,,,MiddleEast,0,Rodrigo
2022-2023,01/07/2022,Lemon,Turkey,Turkey,,,,,,,may-23,20,0,"0,00",,,,,,MiddleEast,0,Rodrigo
2022-2023,01/07/2022,Lemon,Turkey,Turkey,,,,,,,may-23,21,0,"0,00",,,,,,MiddleEast,0,Rodrigo
2022-2023,01/07/2022,Lemon,Turkey,Turkey,,,,,,,may-23,22,0,"0,00",,,,,,MiddleEast,0,Rodrigo
2022-2023,01/07/2022,Lemon,Turkey,Turkey,,,,,,,jun-23,23,0,"0,00",,,,,,MiddleEast,0,Rodrigo
2022-2023,01/07/2022,Lemon,Turkey,Turkey,,,,,,,jun-23,24,0,"0,00",,,,,,MiddleEast,0,Rodrigo
2022-2023,01/07/2022,Lemon,Turkey,Turkey,,,,,,,jun-23,25,0,"0,00",,,,,,MiddleEast,0,Rodrigo
2022-2023,01/07/2022,Lemon,Turkey,Turkey,,,,,,,jun-23,26,0,"0,00",,,,,,MiddleEast,0,Rodrigo
2022-2023,01/07/2022,Lemon,Turkey,Turkey,,,,,,,jul-23,27,0,"0,00",,,,,,MiddleEast,0,Rodrigo
2022-2023,01/07/2022,Lemon,Turkey,Turkey,,,,,,,jul-23,28,0,"0,00",,,,,,MiddleEast,0,Rodrigo
2022-2023,01/07/2022,Lemon,Turkey,Turkey,,,,,,,jul-23,29,0,"0,00",,,,,,MiddleEast,0,Rodrigo
2022-2023,01/07/2022,Lemon,Turkey,Turkey,,,,,,,jul-23,30,0,"0,00",,,,,,MiddleEast,0,Rodrigo
2022-2023,01/07/2022,Grapefruits,Turkey,Turkey,,,,,,,ago-22,31,0,"0,00",,,,,,MiddleEast,0,Rodrigo
2022-2023,01/07/2022,Grapefruits,Turkey,Turkey,,,,,,,ago-22,32,0,"0,00",,,,,,MiddleEast,0,Rodrigo
2022-2023,01/07/2022,Grapefruits,Turkey,Turkey,,,,,,,ago-22,33,0,"0,00",,,,,,MiddleEast,0,Rodrigo
2022-2023,01/07/2022,Grapefruits,Turkey,Turkey,,,,,,,ago-22,34,0,"0,00",,,,,,MiddleEast,0,Rodrigo
2022-2023,01/07/2022,Grapefruits,Turkey,Turkey,,,,,,,sep-22,35,0,"0,00",,,,,,MiddleEast,0,Rodrigo
2022-2023,01/07/2022,Grapefruits,Turkey,Turkey,,,,,,,sep-22,36,0,"0,00",,,,,,MiddleEast,0,Rodrigo
2022-2023,01/07/2022,Grapefruits,Turkey,Turkey,,,,,,,sep-22,37,0,"0,00",,,,,,MiddleEast,0,Rodrigo
2022-2023,01/07/2022,Grapefruits,Turkey,Turkey,,,,,,,sep-22,38,0,"0,00",,,,,,MiddleEast,0,Rodrigo
2022-2023,01/07/2022,Grapefruits,Turkey,Turkey,,,,,,,sep-22,39,0,"0,00",,,,,,MiddleEast,0,Rodrigo
2022-2023,01/07/2022,Grapefruits,Turkey,Turkey,,,,,,,oct-22,40,0,"0,00",,,,,,MiddleEast,0,Rodrigo
2022-2023,01/07/2022,Grapefruits,Turkey,Turkey,,,,,,,oct-22,41,0,"0,00",,,,,,MiddleEast,0,Rodrigo
2022-2023,01/07/2022,Grapefruits,Turkey,Turkey,,,,,,,oct-22,42,4000,"0,00",,,,,,MiddleEast,"8,16",Rodrigo
2022-2023,01/07/2022,Grapefruits,Turkey,Turkey,,,,,,,oct-22,43,4000,"0,00",,,,,,MiddleEast,"8,16",Rodrigo
2022-2023,01/07/2022,Grapefruits,Turkey,Turkey,,,,,,,nov-22,44,4000,"0,00",,,,,,MiddleEast,"8,16",Rodrigo
2022-2023,01/07/2022,Grapefruits,Turkey,Turkey,,,,,,,nov-22,45,4000,"0,00",,,,,,MiddleEast,"8,16",Rodrigo
2022-2023,01/07/2022,Grapefruits,Turkey,Turkey,,,,,,,nov-22,46,4000,"0,00",,,,,,MiddleEast,"8,16",Rodrigo
2022-2023,01/07/2022,Grapefruits,Turkey,Turkey,,,,,,,nov-22,47,4000,"0,00",,,,,,MiddleEast,"8,16",Rodrigo
2022-2023,01/07/2022,Grapefruits,Turkey,Turkey,,,,,,,dic-22,48,4000,"0,00",,,,,,MiddleEast,"8,16",Rodrigo
2022-2023,01/07/2022,Grapefruits,Turkey,Turkey,,,,,,,dic-22,49,4000,"0,00",,,,,,MiddleEast,"8,16",Rodrigo
2022-2023,01/07/2022,Grapefruits,Turkey,Turkey,,,,,,,dic-22,50,4000,"0,00",,,,,,MiddleEast,"8,16",Rodrigo
2022-2023,01/07/2022,Grapefruits,Turkey,Turkey,,,,,,,dic-22,51,0,"0,00",,,,,,MiddleEast,0,Rodrigo
2022-2023,01/07/2022,Grapefruits,Turkey,Turkey,,,,,,,dic-22,52,0,"0,00",,,,,,MiddleEast,0,Rodrigo
2022-2023,01/07/2022,Grapefruits,Turkey,Turkey,,,,,,,ene-23,1,0,"0,00",,,,,,MiddleEast,0,Rodrigo
2022-2023,01/07/2022,Grapefruits,Turkey,Turkey,,,,,,,ene-23,2,0,"0,00",,,,,,MiddleEast,0,Rodrigo
2022-2023,01/07/2022,Grapefruits,Turkey,Turkey,,,,,,,ene-23,3,0,"0,00",,,,,,MiddleEast,0,Rodrigo
2022-2023,01/07/2022,Grapefruits,Turkey,Turkey,,,,,,,ene-23,4,0,"0,00",,,,,,MiddleEast,0,Rodrigo
2022-2023,01/07/2022,Grapefruits,Turkey,Turkey,,,,,,,feb-23,5,0,"0,00",,,,,,MiddleEast,0,Rodrigo
2022-2023,01/07/2022,Grapefruits,Turkey,Turkey,,,,,,,feb-23,6,0,"0,00",,,,,,MiddleEast,0,Rodrigo
2022-2023,01/07/2022,Grapefruits,Turkey,Turkey,,,,,,,feb-23,7,0,"0,00",,,,,,MiddleEast,0,Rodrigo
2022-2023,01/07/2022,Grapefruits,Turkey,Turkey,,,,,,,feb-23,8,0,"0,00",,,,,,MiddleEast,0,Rodrigo
2022-2023,01/07/2022,Grapefruits,Turkey,Turkey,,,,,,,mar-23,9,0,"0,00",,,,,,MiddleEast,0,Rodrigo
2022-2023,01/07/2022,Grapefruits,Turkey,Turkey,,,,,,,mar-23,10,0,"0,00",,,,,,MiddleEast,0,Rodrigo
2022-2023,01/07/2022,Grapefruits,Turkey,Turkey,,,,,,,mar-23,11,0,"0,00",,,,,,MiddleEast,0,Rodrigo
